chr,start,end,strand,name,nr reads,start region,end region,closest cg id,closest symbol
chr2R,6449202,6449695,+,s36,901,5' UTRs,5' UTRs,FBgn0004399,psq-RD
chr3R,9892264,9892874,+,s37,893,5' UTRs,CDS,CG3143,foxo
chr3RHet,2018689,2019257,+,s38,875,CDS,CDS,CG40411,Parp
chr2R,12311544,12312156,+,s39,857,CDS,CDS,FBgn0053960,CG33960-RB
chrX,11291859,11292855,+,s40,834,CDS,CDS,CG1725,dlg1
chr2R,5152996,5155481,-,s41,813,CDS,CDS,CG2049,Pkn
chr3L,8628782,8630698,+,s42,810,CDS,CDS,CG6416,Zasp66
chr3R,452696,454071,+,s43,780,CDS,CDS,CG1056,5-HT2
chrX,15830833,15831064,-,s44,779,CDS,CDS,CG9126,Stim
chr2R,20659249,20660318,-,s45,761,CDS,CDS,CG16932,Eps-15
chr2L,16690903,16692124,+,s46,745,5' UTRs,CDS,CG17161,grp
chr2RHet,203350,207155,+,s47,739,CDS,CDS,CG12559,rl
chr2RHet,3169170,3169621,-,s48,701,CDS,CDS,FBgn0260994,CG42595-RF
chr4,1140564,1141427,-,s49,699,CDS,CDS,CG11059,cals
chr4,470869,471135,+,s50,695,5' UTRs,CDS,CG1495,CaMKI
chr2L,9503594,9504813,+,s51,690,5' UTRs,CDS,CG33298,CG33298
chr3R,3689984,3691483,-,s52,682,CDS,CDS,CG17816,CG17816
chr3L,135459,136335,+,s53,681,5' UTRs,CDS,CG1210,Pk61C
chr2R,8609811,8610511,+,s54,674,5' UTRs,CDS,CG42663,CG42663
chr3L,8091447,8092636,+,s55,673,5' UTRs,CDS,CG43119,CG13681
chr2L,7209350,7209653,-,s56,665,CDS,CDS,CG13784,CG13784
chr4,1265679,1269135,+,s57,657,CDS,CDS,CG33653,Caps
chr3L,7655572,7655990,-,s58,655,CDS,CDS,FBgn0261687,NA
chr2RHet,796084,796677,-,s59,643,CDS,CDS,FBgn0040017,CG17684-RC
chrX,11289274,11290136,+,s60,642,CDS,CDS,CG1725,dlg1
chr2R,6419545,6421473,-,s61,629,CDS,5' UTRs,CG12052,lola
chr2R,17025732,17026737,-,s62,625,CDS,5' UTRs,CG30388,Magi
chr3L,8064053,8065593,+,s63,622,5' UTRs,CDS,CG43119,CG13681
chr3R,9256646,9257075,-,s64,614,CDS,CDS,CG9764,yrt
chr3L,18880162,18880846,-,s65,614,CDS,5' UTRs,CG3961,CG3961
chrX,18266065,18267488,+,s66,608,5' UTRs,CDS,CG6103,CrebB-17A
chr3L,11143974,11144657,+,s67,606,5' UTRs,CDS,CG32082,CG32082
chr2R,4565936,4566639,+,s68,596,CDS,CDS,CG8732,Acsl
chr3L,3443459,3447724,-,s69,593,CDS,CDS,CG10840,eIF5B
chr3R,5180145,5180805,+,s70,591,5' UTRs,CDS,CG33936,CG33936
chr2R,6987038,6987619,-,s71,576,CDS,5' UTRs,CG33473,luna
chr2R,1091258,1091783,-,s72,575,CDS,CDS,CG33554,Nipped-A
chr3R,22380080,22381373,+,s73,571,CDS,CDS,CG43398,CG31082
chrX,8085846,8086194,+,s74,561,CDS,CDS,CG32717,sdt
chr2L,1690118,1690755,+,s75,552,5' UTRs,CDS,CG31666,chinmo
chr3L,20161577,20162163,-,s76,550,introns,introns,CG42674,CG42674
chr2R,6681631,6681989,-,s77,546,5' UTRs,other,CG12340,wde
chrX,12723744,12726373,-,s78,545,CDS,5' UTRs,CG42276,Pde9
chrX,1145206,1146129,-,s79,530,CDS,5' UTRs,CG11405,A3-3
chr4,92948,115241,+,s80,527,5' UTRs,CDS,CG34403,pan
chrX,12624968,12626433,-,s81,524,CDS,5' UTRs,CG4013,Smr
chr3L,313025,314317,-,s82,523,CDS,5' UTRs,CG7004,fwd
chr4,958959,959743,+,s83,521,5' UTRs,CDS,CG11144,mGluRA
chr3R,5043710,5044485,-,s84,518,CDS,CDS,CG9755,pum
chr2RHet,494134,495242,+,s85,514,5' UTRs,CDS,CG41265,l(2)41Ab
chr2RHet,1291243,1293393,-,s86,502,3' UTRs,CDS,CG40263,CG40263
chr2L,22535862,22536614,-,s87,502,CDS,CDS,CG40006,CG40006
chr2R,16483063,16486199,+,s88,501,5' UTRs,CDS,CG13425,bl
chr2L,22820171,22820497,+,s89,494,5' UTRs,CDS,CG18028,lt
chr3L,6516131,6517196,+,s90,489,5' UTRs,CDS,CG8339,sfl
chr2RHet,738244,738976,-,s91,488,CDS,CDS,FBgn0040017,CG17684-RC
chr3R,621460,623419,-,s92,480,CDS,5' UTRs,CG42574,CG42574
chr3R,19035065,19035605,-,s93,477,CDS,CDS,CG43286,CG13826
chr2R,1207514,1208120,+,s94,470,CDS,CDS,CG10392,sxc
chr2R,11180279,11181066,-,s95,463,CDS,CDS,CG34123,trpm
chr2RHet,1264623,1265686,-,s96,460,other,CDS,CG40263,CG40263
chr4,542100,547146,+,s97,457,5' UTRs,CDS,CG1449,zfh2
chr4,1024785,1025244,+,s98,453,CDS,CDS,CG11186,toy
chr3LHet,1344060,1360849,-,s99,451,CDS,5' UTRs,CG40178,CG40178
chr3L,13595443,13601946,-,s100,450,CDS,CDS,FBgn0262350,NA
chr2RHet,2902095,2903245,+,s101,450,5' UTRs,CDS,CG10837,eIF-4B
chr4,659642,661362,-,s102,444,CDS,CDS,CG9935,CG9935
chr3R,5372521,5375532,-,s103,443,CDS,5' UTRs,CG9381,mura
chr3R,3684661,3691483,-,s104,441,CDS,CDS,CG17816,CG17816
chr3L,2534712,2541403,-,s105,441,CDS,5' UTRs,CG16757,Spn
chr3LHet,211630,217519,+,s106,438,5' UTRs,CDS,CG17594,scro
chr3L,24246894,24251736,+,s107,438,CDS,CDS,CG40452,Snap25
chr3R,15653377,15654764,-,s108,438,CDS,5' UTRs,CG4608,bnl
chr2R,11340363,11344320,+,s109,437,5' UTRs,CDS,FBgn0262868,NA
chr2L,227373,231034,-,s110,433,CDS,CDS,CG3696,kis
chr3R,17821243,17822509,+,s111,432,CDS,CDS,FBgn0013948,Eip93F-RA
chr3R,25892798,25894142,+,s112,429,CDS,CDS,CG7951,sima
chr4,1250829,1259724,+,s113,426,CDS,CDS,CG33653,Caps
chr4,115050,120101,+,s114,419,CDS,CDS,CG34403,pan
chr3R,10957331,10965495,-,s115,415,5' UTRs,repeats (AS),CG6912,CG6912
chr3L,19048496,19049045,+,s116,407,other,other,CG6812,CG6812
chr3L,21907877,21908755,+,s117,402,CDS,CDS,FBgn0014362,mub-RC
chr2L,7107142,7107551,-,s118,400,CDS,CDS,CG34378,Pvf3
chrXHet,67534,69231,-,s119,397,CDS,5' UTRs,CG17162,CG17162
chr2R,1371349,1372158,-,s120,396,CDS,CDS,CG30440,CG30440
chr3RHet,2437713,2439757,+,s121,395,CDS,CDS,CG42402,CG42402
chr2L,19166086,19171251,+,s122,393,5' UTRs,CDS,CG10719,brat
chr2L,20881988,20882464,-,s123,393,CDS,CDS,CG9339,CG9339
chr2L,13609792,13610578,+,s124,392,CDS,CDS,CG7147,kuz
chr2R,13789214,13791184,+,s125,390,CDS,CDS,CG5076,elk
chr3L,2540978,2541403,-,s126,388,5' UTRs,5' UTRs,CG16757,Spn
chr3L,2534712,2536218,-,s127,385,CDS,CDS,CG16757,Spn
chr2L,16174417,16175007,+,s128,385,CDS,CDS,CG4894,Ca-alpha1D
chr2R,15365122,15366370,+,s129,379,CDS,CDS,CG8201,par-1
chr4,974140,975676,-,s130,378,CDS,5' UTRs,CG32016,CG32016
chr2L,22883487,22884857,+,s131,378,CDS,3' UTRs,CG17678,cta
chr2L,12432810,12432943,-,s132,377,introns,introns,CG5442,SC35
chr2R,19609734,19610398,+,s133,376,5' UTRs,CDS,CG11299,CG11299
chr2RHet,609209,610120,-,s134,376,other,CDS,FBgn0040017,CG17684-RC
chr3R,5372521,5373092,-,s135,376,CDS,5' UTRs,CG9381,mura
chr3R,5257755,5258561,+,s136,373,5' UTRs,CDS,FBgn0026188,NA
chr3R,10957331,10965850,-,s137,371,5' UTRs,introns (AS),CG6912,CG6912
chr3R,19023010,19023698,-,s138,363,CDS,5' UTRs,CG43286,CG13826
chrX,15853837,15854945,-,s139,359,introns,introns,CG42252,mmd
chr2L,16527391,16528439,-,s140,355,CDS,5' UTRs,CG5953,CG5953
chr3L,4577918,4580159,+,s141,353,CDS,CDS,CG42540,CG42540
chr3LHet,2253760,2255059,+,s142,351,CDS,CDS,CG17436,vtd
chr2R,265875,266660,-,s143,350,CDS,CDS,CG40129,Gprk1
chr4,115050,115628,+,s144,349,CDS,CDS,CG34403,pan
chr3L,17595776,17596483,-,s145,346,5' UTRs,5' UTRs,CG32180,Eip74EF
chr2L,17737965,17739713,-,s146,345,CDS,5' UTRs,CG7100,CadN
chr3R,15319688,15320040,+,s147,344,CDS,CDS,FBgn0024242,NA
chr3R,21371884,21372227,+,s148,342,introns,introns,CG5099,msi
chr2R,17092119,17093046,+,s149,335,CDS,CDS,CG9480,Glycogenin
chr3L,4751965,4753381,+,s150,332,5' UTRs,5' UTRs,CG13711,CG13711
chr2L,10126002,10127877,-,s151,328,CDS,CDS,CG42843,CG42843
chr2R,13162916,13203643,+,s152,326,5' UTRs,introns,CG33197,mbl
chr2L,3097923,3108861,-,s153,325,CDS,CDS,CG9660,toc
chrX,13861304,13862106,-,s154,313,5' UTRs,5' UTRs,FBgn0085375,mamo-RD
chr2L,16322961,16323517,-,s155,311,CDS,CDS,CG5848,cact
chr4,493774,495394,-,s156,309,CDS,CDS,CG11533,Asator
chr3L,22825038,22826899,-,s157,308,5' UTRs,5' UTRs,CG32462,CG32462
chr2R,19552818,19553558,+,s158,305,5' UTRs,CDS,CG5411,Pde8
chr4,1236856,1238525,+,s159,305,5' UTRs,CDS,CG33653,Caps
chr3R,27259182,27259610,+,s160,303,5' UTRs,CDS,CG17998,Gprk2
chr3RHet,1702562,1703297,-,s161,303,CDS,5' UTRs,CG41099,CG41099
chr3R,21535014,21535869,-,s162,302,CDS,CDS,CG31092,LpR2
chr3R,5270767,5272219,+,s163,302,CDS,CDS,FBgn0026188,NA
chr2L,21311754,21312208,+,s164,300,5' UTRs,CDS,CG8669,crc
chr4,95695,107792,+,s165,297,CDS,CDS,CG34403,pan
chr3R,22392084,22393467,+,s166,296,CDS,CDS,CG43398,CG31082
chr3R,24159432,24160429,-,s167,295,CDS,5' UTRs,CG42551,larp
chr2L,21273325,21274429,+,s168,294,5' UTRs,CDS,CG8671,CG8671
chr3R,18778724,18779190,+,s169,294,CDS,CDS,CG6669,klg
chr3L,7796370,7797807,-,s170,292,CDS,5' UTRs,CG32369,CG32369
chrX,13644350,13646060,-,s171,288,CDS,5' UTRs,CG10990,CG10990
chr3RHet,1936751,1937280,+,s172,282,CDS,CDS,CG40411,Parp
chr2L,21616183,21616573,-,s173,279,CDS,CDS,CG2201,CG2201
chrX,16638648,16639986,-,s174,277,CDS,5' UTRs,CG9634,CG9634
chr3LHet,1007954,1053887,+,s175,276,introns (AS),other,CG41623,Ucrh
chr4,92948,95791,+,s176,276,5' UTRs,CDS,CG34403,pan
chrX,3615410,3615680,+,s177,275,5' UTRs,CDS,CG34412,tlk
chr3R,11992259,11992987,+,s178,273,5' UTRs,CDS,CG6006,CG6006
chrX,10469424,10470189,-,s179,273,CDS,CDS,CG34414,spri
chr2R,13162916,13249602,+,s180,271,5' UTRs,CDS,CG33197,mbl
chrX,11116053,11116287,-,s181,271,other,other,CG42683,CG42683
chr2L,18209770,18211298,-,s182,271,CDS,5' UTRs,CG42750,CG42750
chr2RHet,2799751,2800714,+,s183,269,CDS,CDS,CG17514,CG17514
chrX,8425559,8426497,+,s184,269,introns,CDS,CG1634,Nrg
chrX,2535159,2536126,+,s185,268,5' UTRs,5' UTRs,CG2621,sgg
chrX,13113782,13114179,-,s186,268,CDS,CDS,CG1771,mew
chr2L,5274020,5275780,-,s187,268,CDS,CDS,CG14025,Bsg25D
chr4,1252030,1252562,+,s188,267,CDS,CDS,CG33653,Caps
chr3L,15940009,15940679,-,s189,267,CDS,5' UTRs,CG6117,Pka-C3
chr2R,5119254,5120237,-,s190,267,CDS,CDS,CG2040,hig
chr3R,14913128,14914022,-,s191,266,CDS,5' UTRs,CG6027,cdi
chr2L,21273325,21275806,+,s192,264,5' UTRs,CDS,CG8671,CG8671
chr3L,14657397,14658170,+,s193,263,CDS,CDS,CG32146,dlp
chr3R,22750357,22750983,+,s194,263,5' UTRs,CDS,CG5518,sda
chr2L,1741661,1742260,+,s195,261,5' UTRs,CDS,CG17646,CG17646
chr2R,9068496,9070739,-,s196,261,CDS,CDS,CG32904,seq
chr2L,20431925,20432729,+,s197,257,5' UTRs,CDS,FBgn0051688,CG31688-RC
chr3L,23000429,23000807,+,s198,256,CDS,CDS,CG43079,CG32458
chr2R,10848892,10849346,-,s199,256,CDS,5' UTRs,CG42783,aPKC
chr3R,4944892,4947147,-,s200,253,introns,introns,CG9755,pum
chrX,16407749,16416186,-,s201,249,CDS,5' UTRs,FBgn0260993,para-RA
chr2L,14195734,14197867,-,s202,249,CDS,5' UTRs,CG4551,smi35A
chrX,15286404,15294847,-,s203,248,CDS,CDS,CG43395,cngl
chr3R,1765087,1765660,-,s204,247,CDS,other,CG34113,CG34113
chr3L,3445366,3447724,-,s205,246,CDS,CDS,CG10840,eIF5B
chr3L,3593330,3594742,+,s206,244,CDS,CDS,CG10579,Eip63E
chr4,1012693,1019331,+,s207,242,CDS,CDS,CG11186,toy
chr2L,18776150,18810684,-,s208,242,CDS,5' UTRs,CG31753,ham
chr4,1012693,1025244,+,s209,238,CDS,CDS,CG11186,toy
chr3R,6692252,6692698,-,s210,237,CDS,5' UTRs,CG6584,SelR
chr2R,2136918,2138357,+,s211,236,5' UTRs,CDS,CG12110,Pld
chr3L,23866711,23867531,-,s212,236,CDS,CDS,CG40470,CG40470
chr3R,522914,523977,+,s213,231,5' UTRs,repeats,CG43427,NA
chr2L,10226006,10226338,-,s214,230,introns,introns,CG5708,CG5708
chr2R,5554871,5555279,-,s215,227,CDS,CDS,CG1794,Mmp2
chrX,3586987,3587965,+,s216,225,5' UTRs,CDS,CG13316,Mnt
chr3R,19632349,19633751,-,s217,223,CDS,5' UTRs,CG33111,CG33111
chr2R,17892214,17908376,-,s218,222,CDS,introns,CG34370,CG34370
chr2L,8223826,8226606,-,s219,222,CDS,5' UTRs,CG8222,Pvr
chr3R,20512910,20517655,+,s220,221,CDS,CDS,CG10693,slo
chr3L,3594652,3598621,+,s221,220,CDS,CDS,CG10579,Eip63E
chr3R,5266404,5267387,+,s222,220,introns,CDS,FBgn0026188,NA
chr2L,9233989,9235263,+,s223,219,CDS,CDS,CG13109,tai
chrX,11289274,11294865,+,s224,219,CDS,CDS,CG1725,dlg1
chr3LHet,1351734,1360849,-,s225,219,CDS,5' UTRs,CG40178,CG40178
chr3R,19017419,19035605,-,s226,217,CDS,CDS,CG43286,CG13826
chrX,20931523,20932584,+,s227,217,5' UTRs,CDS,CG32513,bves
chrX,7556146,7557587,+,s228,215,CDS,CDS,CG11387,ct
chr3L,8462511,8462791,+,s229,214,CDS,CDS,CG6964,Gug
chr3R,625415,627713,-,s230,213,5' UTRs,5' UTRs,CG42574,CG42574
chr2R,3835111,3836025,-,s231,213,CDS,CDS,CG14764,CG14764
chr3R,108397,121422,+,s232,212,5' UTRs,CDS,CG32490,cpx
chr4,701067,701761,+,s233,211,other,CDS,CG11360,CG11360
chrX,17614621,17615648,+,s234,211,CDS,CDS,CG42684,CG42684
chr3R,25422964,25423630,+,s235,211,CDS,3' UTRs,CG1906,alph
chr2R,17886307,17908376,-,s236,211,CDS,introns,CG34370,CG34370
chr4,206454,207466,-,s237,210,CDS,CDS,CG2316,CG2316
chr3L,8099117,8100049,+,s238,210,CDS,CDS,CG43119,CG13681
chr3L,22540032,22541038,-,s239,209,other,other,CG14459,CG14459
chr3LHet,209157,211840,+,s240,208,5' UTRs,CDS,CG17594,scro
chrX,16398024,16408217,-,s241,207,CDS,CDS,FBgn0260993,para-RA
chr3L,547483,548067,+,s242,206,5' UTRs,repeats,CG17090,hipk
chr2L,8105693,8107880,+,s243,206,CDS,CDS,FBgn0011219,Bsg-RH
chr3L,15851202,15853126,-,s244,205,CDS,CDS,CG33989,pHCl
chr3R,13834588,13836296,+,s245,205,5' UTRs,5' UTRs,FBgn0000363,cpo-RJ
chr3R,19871161,19872213,-,s246,204,CDS,5' UTRs,CG5422,Rox8
chrX,5290218,5290633,+,s247,204,CDS,CDS,CG10706,SK
chr3L,5697026,5699673,+,s248,202,CDS,CDS,CG34418,sif
chr2R,4562153,4564112,+,s249,200,5' UTRs,CDS,CG8732,Acsl
chr3R,20416295,20417143,+,s250,199,5' UTRs,CDS,FBgn0083077,mld-RA
chrX,9537691,9538400,-,s251,199,CDS,5' UTRs,CG32697,l(1)G0232
chrX,12979630,12981173,-,s252,199,CDS,CDS,CG4353,hep
chr2L,20903017,20903559,-,s253,197,CDS,5' UTRs,CG9339,CG9339
chr2R,6016087,6016534,+,s254,196,CDS,CDS,CG30011,gem
chr2L,2808981,2810643,+,s255,196,5' UTRs,CDS,CG16987,daw
chr4,1214187,1217103,-,s256,193,CDS,5' UTRs,CG17471,CG17471
chr2L,7234528,7234997,-,s257,193,CDS,CDS,CG42253,Ndae1
chr3R,24060798,24061175,+,s258,192,CDS,CDS,CG34354,CG34354
chr3L,1172759,1174607,-,s259,191,CDS,5' UTRs,CG9102,bab2
chr3L,23318743,23319860,-,s260,191,CDS,CDS,CG17947,alpha-Cat
chr4,106339,107792,+,s261,190,CDS,CDS,CG34403,pan
chr3L,7655082,7655990,-,s262,190,CDS,CDS,FBgn0261687,NA
chr2R,3311691,3313744,+,s263,189,5' UTRs,CDS,CG11121,so
chr4,903588,924097,-,s264,187,CDS,5' UTRs,CG2999,unc-13
chr2R,587895,588766,-,s265,187,CDS,CDS,CG17704,Nipped-B
chrX,8534394,8536900,-,s266,187,CDS,5' UTRs,CG12154,oc
chrX,787256,788338,-,s267,187,CDS,5' UTRs,FBgn0029538,CG14632-RB
chr2R,8505301,8505816,+,s268,186,CDS,CDS,CG17759,Galpha49B
chr2R,447867,450586,+,s269,186,CDS,CDS,CG40293,Stlk
chr4,1064095,1065874,-,s270,186,CDS,CDS,CG18069,CaMKII
chr3L,4324923,4325410,-,s271,186,CDS,CDS,CG15015,Cip4
chr4,1250829,1269135,+,s272,185,CDS,CDS,CG33653,Caps
chrX,22387142,22388404,-,s273,185,CDS,CDS,CG12473,stnB
chr4,322869,323152,-,s274,184,5' UTRs,5' UTRs,CG2381,Syt7
chr2R,4937386,4938656,-,s275,184,CDS,CDS,CG13743,CG13743
chrX,10637837,10659835,-,s276,184,CDS,CDS,CG32676,CG32676
chr3R,19838706,19839350,-,s277,183,CDS,CDS,CG5405,KrT95D
chrX,2565155,2565855,+,s278,182,CDS,CDS,CG2621,sgg
chr2L,12240869,12241780,+,s279,181,5' UTRs,CDS,CG31762,aret
chr3R,17450888,17452572,-,s280,180,CDS,5' UTRs,CG6376,E2f
chrX,9705822,9706189,+,s281,180,5' UTRs,CDS,CG32698,CG32698
chr2R,582625,583115,-,s282,180,CDS,CDS,CG17704,Nipped-B
chr3LHet,1007981,1053887,+,s283,179,introns (AS),other,CG41623,Ucrh
chr2R,17888206,17908376,-,s284,179,CDS,introns,CG34370,CG34370
chr2R,15461509,15461831,-,s285,179,CDS,CDS,CG9218,sm
chr3L,2484565,2485228,+,s286,178,5' UTRs,CDS,CG33232,CG33232
chr2R,3613195,3617213,-,s287,178,CDS,CDS,CG18812,CG18812
chr3LHet,1344060,1352326,-,s288,178,CDS,CDS,CG40178,CG40178
chr2R,18050411,18052494,+,s289,177,5' UTRs,CDS,CG6741,a
chr2R,9926216,9928284,+,s290,176,CDS,CDS,CG8118,mam
chr3R,15015074,15016298,+,s291,176,repeats,CDS,CG31475,CG31475
chr2L,8563740,8564296,+,s292,174,5' UTRs,CDS,CG18405,Sema-1a
chr3R,6818628,6819327,+,s293,173,other,CDS,CG34114,CG34114
chr3L,9653743,9657344,-,s294,171,CDS,CDS,CG32045,fry
chr2R,1604155,1605271,-,s295,171,5' UTRs,CDS,CG8376,ap
chr3R,26625761,26626685,-,s296,170,CDS,5' UTRs,CG12072,wts
chr2L,21384456,21385397,+,s297,169,CDS,CDS,CG8663,nrv3
chrX,13543411,13544100,+,s298,169,CDS,CDS,CG11172,NFAT
chr3L,4390451,4391221,+,s299,168,5' UTRs,CDS,CG7447,slow
chr2R,1129402,1130087,-,s300,168,CDS,CDS,CG33554,Nipped-A
chr2L,1909670,1910149,+,s301,167,5' UTRs,CDS,CG7337,CG7337
chr2R,16500571,16502438,-,s302,167,CDS,5' UTRs,CG30147,Hil
chr3L,9152711,9156074,-,s303,165,CDS,CDS,CG10537,Rdl
chrX,15199863,15205249,+,s304,165,5' UTRs,CDS,CG42739,gce
chr2R,5012250,5013718,-,s305,165,CDS,CDS,CG18659,CG18659
chr2L,1158080,1158262,-,s306,164,5' UTRs,5' UTRs,CG33979,capt
chr2L,8283410,8284220,-,s307,163,CDS,CDS,CG8049,Btk29A
chr3L,22995154,22995543,+,s308,162,5' UTRs,CDS,CG43079,CG32458
chr3R,9058402,9058846,-,s309,161,CDS,CDS,CG17907,Ace
chr3R,6849191,6849539,+,s310,161,CDS,CDS,CG34114,CG34114
chr2L,3094218,3108861,-,s311,161,CDS,CDS,CG9660,toc
chr3R,10957331,10965808,-,s312,160,5' UTRs,introns (AS),CG6912,CG6912
chr2R,19529763,19530795,+,s313,159,CDS,CDS,CG5403,retn
chr3R,10685032,10685789,-,s314,159,CDS,other,CG17304,CG17304
chr2L,1741661,1743779,+,s315,159,5' UTRs,CDS,CG17646,CG17646
chr2R,15461494,15461831,-,s316,159,CDS,CDS,CG9218,sm
chr2R,15515987,15516575,-,s317,159,CDS,5' UTRs,CG9218,sm
chr2RHet,2902095,2915524,+,s318,158,5' UTRs,CDS,CG10837,eIF-4B
chr3R,26642598,26643929,+,s319,158,CDS,CDS,CG31012,cindr
chr2R,10037732,10039431,-,s320,158,CDS,5' UTRs,CG8233,Rcd1
chr3L,21900447,21901020,+,s321,157,5' UTRs,CDS,FBgn0014362,mub-RC
chr3L,3769079,3769406,-,s322,157,CDS,CDS,CG32264,CG32264
chr2R,5013057,5013718,-,s323,157,CDS,CDS,CG18659,CG18659
chr3LHet,1146915,1147928,+,s324,155,other,repeats (AS),CG41320,CG41320
chrX,5014217,5014680,+,s325,155,introns,introns,CG6789,CG6789
chr2R,486775,494825,+,s326,153,CDS,CDS,CG17484,p120ctn
chr4,945710,947287,-,s327,153,CDS,CDS,CG10811,eIF4G
chr2RHet,3154310,3169621,-,s328,153,CDS,CDS,FBgn0260994,CG42595-RF
chr3R,2391858,2392599,-,s329,153,CDS,5' UTRs,CG33202,dpr11
chr3L,16141509,16142058,-,s330,153,5' UTRs,5' UTRs,CG32152,CG32152
chr3R,2262448,2264729,+,s331,153,5' UTRs,CDS,FBgn0261972,NA
chrX,6022412,6026346,-,s332,153,CDS,CDS,FBgn0029846,Ca-alpha1T-RB
chr4,1017139,1019331,+,s333,152,CDS,CDS,CG11186,toy
chr2R,2621134,2622416,-,s334,152,CDS,CDS,CG9432,l(2)01289
chrX,8761583,8762257,+,s335,151,5' UTRs,CDS,CG12075,CG12075
chrX,15199863,15200612,+,s336,151,5' UTRs,5' UTRs,CG42739,gce
chr2R,9073290,9075413,-,s337,151,5' UTRs,5' UTRs,CG33182,Kdm4B
chr3L,21417555,21418645,-,s338,150,CDS,CDS,CG6049,CG6049
chr3R,3933955,3937023,+,s339,150,CDS,CDS,CG7850,puc
chr3L,505888,506356,-,s340,149,CDS,CDS,CG17046,klar
chr3L,19062588,19063199,-,s341,149,CDS,5' UTRs,CG14080,Mkp3
chrX,21859264,21860096,+,s342,149,5' UTRs,5' UTRs,CG14619,CG14619
chr3L,4180732,4182873,-,s343,147,CDS,5' UTRs,CG15004,Teh2
chrX,6538596,6539371,+,s344,147,CDS,CDS,CG3973,pigs
chr2R,12818618,12820083,+,s345,145,CDS,CDS,CG6622,Pkc53E
chr2L,7040474,7041159,+,s346,145,5' UTRs,CDS,CG43227,CG31630
chr2L,12593626,12594670,+,s347,145,5' UTRs,CDS,CG34395,nub
chrX,4243038,4243745,+,s348,144,5' UTRs,CDS,FBgn0004625,norpA-RD
chr2R,5013057,5013571,-,s349,144,CDS,CDS,CG18659,CG18659
chr4,1236856,1237236,+,s350,143,5' UTRs,CDS,CG33653,Caps
chr2L,2704927,2712136,+,s351,143,CDS,CDS,CG31690,CG31690
chrX,21895318,21896111,+,s352,143,CDS,CDS,CG14616,l(1)G0196
chr2R,13162916,13183381,+,s353,142,5' UTRs,CDS,CG33197,mbl
chr3R,11779881,11783641,+,s354,142,CDS,3' UTRs,CG8884,Sap47
chrX,2415568,2416454,-,s355,142,CDS,CDS,CG33950,trol
